id,name,light years from earth,planet mass,stelar magnitude,discovery date
0,TOI-663 d,64.2308,5.2 Earths,13.667,2024
1,TOI-663 c,64.2308,3.65 Earths,13.667,2024
2,TOI-663 b,64.2308,4.45 Earths,13.667,2024
3,KMT-2023-BLG-1431L b,6800,13.6 Earths,Unknown,2024
4,TIC 365102760 b,555.546,19.2 Earths,12.154,2024
5,BD-14 3065 b,589.423,12.37 Jupiters,11.1,2024
6,TOI-3071 b,485.219,0.21458 Jupiters,12.383,2024
7,TOI-2374 b,134.655,0.17821 Jupiters,12.095,2024
8,HD 284149 AB b,117.807,26.28 Jupiters,9.57,2017
9,TOI-5076 b,82.857,16 Earths,10.9,2024
10,KMT-2023-BLG-0735L b,6390,38.77507 Earths,Unknown,2024
11,KMT-2023-BLG-0469L b,7070,39.41072 Earths,Unknown,2024
12,MOA-2022-BLG-563L b,6530,0.4 Jupiters,Unknown,2024
13,NGTS-26 b,1093.69,0.292 Jupiters,15.009,2024
14,NGTS-27 b,942.122,0.593 Jupiters,13.523,2024
15,TOI-663 d,64.2308,5.2 Earths,13.667,2024
16,TOI-663 c,64.2308,3.65 Earths,13.667,2024
17,TOI-663 b,64.2308,4.45 Earths,13.667,2024
18,KMT-2023-BLG-1431L b,6800,13.6 Earths,Unknown,2024
19,TIC 365102760 b,555.546,19.2 Earths,12.154,2024
20,BD-14 3065 b,589.423,12.37 Jupiters,11.1,2024
21,TOI-3071 b,485.219,0.21458 Jupiters,12.383,2024
22,TOI-2374 b,134.655,0.17821 Jupiters,12.095,2024
23,HD 284149 AB b,117.807,26.28 Jupiters,9.57,2017
24,TOI-5076 b,82.857,16 Earths,10.9,2024
25,KMT-2023-BLG-0735L b,6390,38.77507 Earths,Unknown,2024
26,KMT-2023-BLG-0469L b,7070,39.41072 Earths,Unknown,2024
27,MOA-2022-BLG-563L b,6530,0.4 Jupiters,Unknown,2024
28,NGTS-26 b,1093.69,0.292 Jupiters,15.009,2024
29,NGTS-27 b,942.122,0.593 Jupiters,13.523,2024
